velocity_1min,velocity_5min,velocity_60min,velocity_1440min,ip_novelty,device_novelty,geo_novelty,impossible_travel,travel_speed_kmh,device_consistency_score,user_agent_consistency,sparse_history,label
5.0,27.0,62.0,72.0,1.0,1.0,1.0,0.0,0.0,0.2247817,0.10675084,0.0,1.0
5.0,28.0,77.0,193.0,1.0,1.0,1.0,0.0,0.0,0.22110328,0.17043461,0.0,1.0
1.0,1.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.84209514,0.85220367,0.0,0.0
1.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.9372605,0.9564426,0.0,0.0
1.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8128041,0.9494917,0.0,0.0
0.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.8200655,0.9775438,0.0,0.0
1.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.86204815,0.9159121,0.0,0.0
1.0,3.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.9412811,0.86184776,0.0,0.0
0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.9273719,0.98873806,0.0,0.0
0.0,3.0,4.0,12.0,1.0,0.0,1.0,1.0,1026.0,0.7104982,0.9055138,0.0,1.0
0.0,0.0,5.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0
5.0,30.0,42.0,114.0,1.0,0.0,0.0,0.0,0.0,0.15581995,0.09722472,0.0,1.0
0.0,4.0,7.0,9.0,1.0,0.0,1.0,1.0,1891.0,0.703668,0.7522848,0.0,1.0
0.0,1.0,4.0,16.0,1.0,0.0,1.0,1.0,1998.0,0.917405,0.9541659,0.0,1.0
0.0,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.83261675,0.8927774,0.0,0.0
2.0,7.0,11.0,12.0,0.0,0.0,1.0,0.0,0.0,0.4077791,0.675276,1.0,1.0
1.0,2.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.95036197,0.8811717,0.0,0.0
2.0,3.0,6.0,8.0,1.0,0.0,1.0,1.0,3996.0,0.76764345,0.7116235,0.0,1.0
13.0,38.0,66.0,106.0,1.0,0.0,0.0,0.0,0.0,0.09992304,0.26403973,0.0,1.0
0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.93738395,0.9240374,0.0,0.0
1.0,2.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.83384013,0.8595849,0.0,0.0
0.0,2.0,3.0,4.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0
0.0,2.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9311747,0.9845692,0.0,0.0
0.0,3.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.86565113,0.96305597,0.0,0.0
10.0,31.0,38.0,199.0,1.0,1.0,1.0,0.0,0.0,0.25905272,0.14839594,0.0,1.0
9.0,18.0,75.0,78.0,1.0,0.0,0.0,0.0,0.0,0.084927514,0.20606548,0.0,1.0
